timestep benthamHalfLookaheadBinary_pop benthamHalfLookaheadBinary_mttl benthamHalfLookaheadBinary_strv benthamHalfLookaheadBinary_comd benthamHalfLookaheadBinary_welt benthamHalfLookaheadBinary_maad egoisticHalfLookaheadBinary_pop egoisticHalfLookaheadBinary_mttl egoisticHalfLookaheadBinary_strv egoisticHalfLookaheadBinary_comd egoisticHalfLookaheadBinary_welt egoisticHalfLookaheadBinary_maad rawSugarscape_pop rawSugarscape_mttl rawSugarscape_strv rawSugarscape_comd rawSugarscape_welt rawSugarscape_maad
47 109.48 18.807300000000005 0.29 0.02 25853.293499999996 10.11 47.8 19.645900000000005 0.1 0.57 10290.822700000002 12.664200000000001 46.22 20.005699999999997 0.1 0.6 10022.1143 17.0133
48 110.83 18.8023 0.19 0.03 26455.296699999995 9.49 47.43 19.6399 0.12 0.77 10333.641600000004 20.2591 46.01 20.003099999999996 0.08 0.52 10140.8431 12.855
49 111.82 18.8716 0.35 0.0 27020.07969999999 12.19 46.99 19.602600000000006 0.11 0.64 10408.022 17.425 45.57 20.0704 0.22 0.52 10202.024100000002 18.381800000000002
50 112.87 18.89 0.23 0.0 27614.81469999999 10.53 46.83 19.530900000000006 0.08 0.52 10515.1802 14.681999999999999 45.26 20.059500000000003 0.06 0.53 10291.223200000004 14.748299999999999
51 113.92 18.8927 0.38 0.02 28174.029799999997 14.043299999999999 46.43 19.464700000000004 0.07 0.67 10584.430399999997 14.4033 44.86 20.020600000000005 0.06 0.52 10386.977000000004 15.7
52 115.17 18.840799999999998 0.25 0.02 28788.5149 10.06 46.22 19.355100000000007 0.08 0.52 10693.930799999998 13.7217 44.58 19.866099999999996 0.05 0.49 10479.423000000004 12.746599999999999
53 116.19 18.834500000000006 0.41 0.01 29354.817400000004 16.3483 46.06 19.220800000000008 0.05 0.42 10836.737899999998 11.585 44.21 19.69220000000001 0.07 0.58 10542.297000000002 17.505
54 117.48 18.756600000000002 0.2 0.05 29970.247700000004 10.02 45.73 19.1069 0.08 0.63 10879.966800000002 21.83 44.05 19.4501 0.04 0.45 10661.056200000003 12.565
55 118.64 18.659599999999998 0.23 0.04 30585.44059999999 8.805 45.46 18.967200000000005 0.08 0.5 10940.130399999998 16.9183 43.71 19.216600000000007 0.04 0.61 10713.961000000003 17.516599999999997
56 119.69 18.60130000000001 0.28 0.01 31197.024899999993 13.84 45.17 18.780900000000003 0.07 0.48 11041.8883 15.1517 43.38 18.979800000000008 0.04 0.55 10792.559100000004 14.5225
57 121.02 18.4655 0.32 0.01 31812.490499999993 15.84 44.85 18.519899999999996 0.07 0.57 11115.331699999999 15.0417 43.1 18.755400000000005 0.07 0.41 10876.242300000002 15.425
58 121.9 18.3752 0.33 0.02 32404.282599999988 15.77 44.5 18.325499999999998 0.05 0.55 11188.711000000003 17.92 42.75 18.460700000000003 0.1 0.4 10970.349900000005 14.746599999999999
59 122.75 18.289800000000003 0.32 0.03 32990.47479999998 15.83 44.38 17.9866 0.04 0.45 11276.342500000002 15.421599999999998 42.51 18.167800000000007 0.03 0.43 11079.042700000002 14.9283
60 121.64 18.5491 0.15 0.0 32803.505099999995 56.79070000000001 42.83 18.364399999999996 0.04 0.46 10966.962800000003 51.46370000000001 41.1 18.436600000000006 0.03 0.35 10817.1019 46.9138
61 120.6 18.878300000000003 0.23 0.0 32592.1377 59.7076 41.14 18.793 0.04 0.5 10588.0429 49.9816 39.53 18.787800000000004 0.04 0.38 10467.7053 53.5791
62 120.54 18.9712 0.32 0.03 32746.272399999994 53.9968 40.48 18.7123 0.05 0.51 10560.6001 24.5526 38.99 18.6531 0.02 0.4 10459.519600000001 24.9333
63 120.05 19.222800000000007 0.25 0.01 32649.149899999997 58.22410000000001 39.48 18.796199999999995 0.02 0.4 10415.9969 38.313500000000005 37.99 18.6638 0.05 0.46 10286.476 37.3475
64 120.27 19.2995 0.19 0.01 32822.299100000004 53.5101 38.93 18.6489 0.02 0.37 10373.535299999998 28.89 37.29 18.5309 0.05 0.37 10189.5315 33.7025
65 120.67 19.3375 0.15 0.01 32981.3813 60.185900000000004 38.11 18.650699999999997 0.02 0.41 10268.811700000002 43.515100000000004 36.5 18.5149 0.02 0.3 10119.118899999996 32.5766
66 120.68 19.41700000000001 0.32 0.02 32826.548899999994 63.854400000000005 37.01 18.8626 0.02 0.38 10032.758700000002 48.039899999999996 35.33 18.696199999999997 0.02 0.29 9873.0654 46.9308
67 120.22 19.624700000000004 0.23 0.03 32611.636299999995 64.0702 35.87 19.126600000000007 0.04 0.32 9802.308099999997 48.5709 34.37 18.86010000000001 0.01 0.17 9673.736700000005 50.184200000000004
