timestep benthamHalfLookaheadBinary_pop benthamHalfLookaheadBinary_mttl benthamHalfLookaheadBinary_strv benthamHalfLookaheadBinary_comd benthamHalfLookaheadBinary_welt benthamHalfLookaheadBinary_maad egoisticHalfLookaheadBinary_pop egoisticHalfLookaheadBinary_mttl egoisticHalfLookaheadBinary_strv egoisticHalfLookaheadBinary_comd egoisticHalfLookaheadBinary_welt egoisticHalfLookaheadBinary_maad rawSugarscape_pop rawSugarscape_mttl rawSugarscape_strv rawSugarscape_comd rawSugarscape_welt rawSugarscape_maad
16 103.1 9.999900000000002 4.35 0.01 13143.8908 14.5517 71.96 11.063400000000001 2.9 0.98 8680.033899999997 14.3323 72.43 11.146599999999996 2.27 1.19 8761.397199999996 14.682600000000003
17 99.69 10.4584 4.28 0.01 13206.5641 15.6825 69.02 11.5299 2.55 1.13 8617.734499999999 15.545500000000002 69.76 11.564099999999994 2.45 1.05 8718.589899999999 15.116499999999998
18 96.85 10.922300000000005 3.55 0.0 13306.874099999999 16.49 66.49 11.9448 2.07 1.13 8569.196000000004 15.971199999999996 67.52 11.982200000000008 1.9 0.89 8720.289999999999 15.5722
19 94.16 11.4298 3.5 0.0 13396.774099999999 17.46 64.34 12.393999999999998 1.83 0.88 8563.902400000003 15.86 65.16 12.4163 1.84 1.07 8677.0547 16.9956
20 92.17 11.905900000000004 2.7 0.0 13558.239399999999 18.05 62.21 12.884200000000003 1.76 0.88 8543.461300000006 16.794 62.86 12.941799999999999 1.73 0.91 8650.301300000001 17.4542
21 90.9 12.324499999999995 2.1 0.01 13780.053500000002 17.97 60.18 13.3872 1.57 0.96 8517.940900000001 18.203699999999998 61.17 13.394399999999997 1.39 0.85 8657.9712 16.3913
22 90.24 12.666500000000001 1.55 0.01 14078.7775 17.64 58.82 13.816900000000006 1.08 0.88 8549.429200000002 17.3279 60.07 13.776100000000001 1.02 0.59 8768.832400000001 16.906599999999997
23 89.26 13.091499999999995 1.77 0.01 14332.130699999998 18.48 57.62 14.214299999999998 0.94 0.76 8600.408399999998 16.9275 58.85 14.1863 1.02 0.7 8844.783600000002 16.304000000000002
24 88.58 13.5091 1.44 0.0 14616.465699999999 17.48 56.37 14.6517 0.81 0.87 8641.630500000001 16.2027 57.75 14.503700000000004 0.8 0.84 8902.2037 16.006399999999996
25 87.97 13.922400000000005 1.32 0.0 14916.6457 18.24 55.58 14.956699999999998 0.55 0.79 8719.461 16.7841 56.75 14.8738 0.73 0.86 8959.471699999998 18.572
26 87.8 14.3128 1.2 0.0 15247.898199999998 17.7 54.55 15.330499999999999 0.6 0.92 8754.206299999998 17.5098 55.85 15.19759999999999 0.69 0.8 9014.646799999999 16.5943
27 87.49 14.709300000000002 1.14 0.02 15561.916599999999 19.245 53.68 15.731699999999996 0.68 0.72 8822.655899999998 17.1178 54.99 15.550700000000004 0.62 0.78 9080.1637 15.495899999999997
28 87.73 15.008000000000003 0.83 0.0 15943.836599999999 15.39 53.06 16.078400000000002 0.63 0.57 8921.933099999997 15.8 54.42 15.858499999999998 0.61 0.66 9172.748599999997 15.3697
